keyword,sdg,type
the marine strategy framework directive,14,
total allowable catch,14,
traditional ecological knowledge,14,
united nations convention on the law of the sea,14,
unregulated fishing,14,
fishing,14,
sea level,14,
sea-ice,14,
biodiversity,14,GENERIC
ecosystem,14,GENERIC
biosphere,14,GENERIC
SDG 15,15,
SDG15,15,
deforestation,15,
life on land,15,
biodiversity,15,
conservation,15,
biodiversity conservation,15,
biodiversity hotspots,15,
biodiversity indicator,15,
biodiversity indicators,15,
biodiversity research network,15,
biodiversity trends,15,
biodiversity loss,15,
protect biodiversity,15,
mountain biodiversity,15,
terrestrial biodiversity,15,
freshwater biodiversity,15,
community forestry,15,
forest,15,
forest change detection,15,
forest cover loss,15,
forest degradation,15,
degradation of forest,15,
forest ecosystem,15,
forest genetic resources,15,
forest management,15,
forest monitoring,15,
forest residue,15,
forest valuation,15,
forestry,15,
natural resource management,15,
desertification,15,
arid land research,15,
ecological approach,15,
eco restoration,15,
endangered species,15,
invasive species,15,
native species,15,
species extinction,15,
terrestrial ecosystem,15,
freshwater ecosystem,15,
natural ecosystem,15,
ecosystems science,15,
native forests,15,
land administration,15,
land change science,15,
land conservation,15,
land degradation,15,
ecosystem degradation,15,
degradation of ecosystem,15,
land development phase,15,
land evaluation,15,
land grab,15,
land grabbing,15,
land loss,15,
land management,15,
land productivity trends,15,
land question,15,
land use,15,
land-use,15,
mountain ecosystems,15,
mountain forestry,15,
mountain forests,15,
red list index,15,
red list species,15,
reforestation,15,
threatened wildlife,15,
wildlife conservation,15,
wildlife detection,15,
conservation program,15,
conservation project,15,
conservation work,15,
lasting conservation,15,
nature conservation,15,
environmental conservation,15,
environmental analysis,15,
environmental research,15,
environmental system,15,
environmental monitoring,15,
environmental,15,GENERIC
ecosystem assessment,15,
ecosystem science,15,
wetland ecosystem,15,
peatland,15,
arid land,15,
desert land,15,
preservation of diverse ecosystem,15,
conservation and nature,15,
conserve nature,15,
conserve wildlife,15,
protect wildlife,15,
vegetation,15,
wildlife,15,
conservation challenge,15,
natural habitat,15,
protection of nature,15,
preservation of nature,15,
save species,15,
health of the planet,15,
environmental challenge,15,
environmental degradation,15,
SDG 16,16,
SDG16,16,
policy,16,GENERIC
political,16,GENERIC
governance,16,GENERIC
military spending,16,
political violence,16,
political system,16,
armed violence,16,
good governance,16,
democratic governance,16,
form of governance,16,
regulatory policy,16,
international policy,16,
build peace,16,
international peace,16,
peace and security,16,
mediation system,16,
peacebuilding,16,
end conflict,16,
prevent conflict,16,
national security,16,
global security,16,
global stability,16,
improve governance,16,
governance model,16,
conflict resolution,16,
global governance,16,
international decision-making,16,
global institutions,16,
governmental instability,16,
threat of conflict,16,
Cold War,16,
world war,16,
global war,16,
international war,16,
civil war,16,
warfare,16,
violent conflict,16,
political instability,16,
diplomacy,16,
constitutionalisation,16,
civil violence,16,
dictatorship,16,
democracy,16,
national dialogue,16,
decision maker,16,
decision-making model,16,
governance system,16,
rule of law,16,
rule-of-law,16,
legal system,16,
legal framework,16,
international law,16,
security council,16,
judicial independence,16,
weapons of mass destruction,16,
biological weapon,16,
chemical weapon,16,
nuclear weapons,16,
nuclear arms,16,
nuclear proliferation,16,
nuclear war,16,
disarmament,16,
non-proliferation treaty,16,
armed conflict,16,
arms flow,16,
arms trafficking,16,
arms control,16,
small arms,16,
organized crime,16,
anti-corruption,16,
anti-bribery,16,
bribery,16,
fight corruption,16,
empower citizens,16,
transnational corruption,16,
better policy,16,
public policy,16,
public affairs,16,
public sector,16,
policy dialogue,16,
policy development,16,
policy domain,16,
policy area,16,
policy advice,16,
policy support,16,
policy challenge,16,
policy analysis,16,
policy priority,16,
policy option,16,
policymaking,16,
policymaker,16,
policy maker,16,
policy shaper,16,
policy solutions,16,
effective institution,16,
accountable institution,16,
transparent institution,16,
effective policy,16,
transparent policy,16,
government transparency,16,
public accountability,16,
research on politics,16,
policy forum,16,
participatory decision-making,16,
policy debate,16,
multi-stakeholder dialogue,16,
foreign policy,16,
human rights,16,
human liberty,16,
terrorism,16,
SDG 17,17,
SDG17,17,
system,17,GENERIC
profit shifting,17,
tax avoidance,17,
tax evasion,17,
tax policy reform,17,
Intergovernmental,17,
multilateral negotiation,17,
multi-stakeholder,17,
multi-institutional,17,
bilateral partnership,17,
multilaterial partnership,17,
public-private cooperation,17,
public-private partnerships,17,
public-private collaboration,17,
global affairs,17,
global agenda,17,
global leadership,17,
global collaboration,17,
global cooperation,17,
global partnership,17,
global challenge,17,
global public interest,17,
global process,17,
global discussion,17,
global response,17,
global issue,17,
global future,17,
global strategy,17,
global dialogue,17,
global decision-making,17,
global challenge,17,
global problem,17,
global change,17,
global development,17,
sustainable global development,17,
development cooperation,17,
development policy,17,
international risk,17,
international agenda,17,
international affairs,17,
international leadership,17,
international collaboration,17,
international cooperation,17,
international partnership,17,
international challenge,17,
international public interest,17,
international response,17,
international issue,17,
international strategy,17,
international dialogue,17,
international decision-making,17,
international challenge,17,
international problem,17,
international risk,17,
develop international standard,17,
platform for dialogue,17,
global platform,17,
global transformation,17,
global trade,17,
trade policy,17,
Trans-Pacific Partnership,17,
trade agreement,17,
NAFTA,17,
global interdependence,17,
future generation,17,
global system,17,
global scenario,17,
global politics,17,
global civilization,17,
transatlantic collaboration,17,
transatlantic relationship,17,
wto,17,
world trade organization,17,
wef,17,
world economic forum,17,
global south,17,
global north,17,
development finance,17,
multilateral framework,17,
sustainable development goal,17,
green bonds,17,
social bonds,17,
sustainability bonds,17,
sustainability paradigm,17,
international relations,17,
complex system,17,
system mapping,17,
system analysis,17,
systems thinking,17,
systemic,17,
systems-based,17,
systemic change,17,
system change,17,
sustainable development,17,
development challenges,17,
oda,17,
official development assistance,17,
aid allocation,17,
aid dependency,17,
aid efficiency,17,
aid flows,17,
development agenda,17,
development aid,17,
development assistance,17,
development cooperation,17,
development co-operation,17,
international aid,17,
international development,17,
international support,17,
global debt,17,
debt financing,17,
debt relief,17,
debt restructuring,17,
developing country,17,
developing economy,17,
low-income country,17,
lics,17,
lic,17,
lidcs,17,
lidc,17,
global financial sector,17,
finance for sustainable development,17,
private sector investment,17,
responsible investment,17,
responsible investor,17,
global sustainability,17,
sdg financing gap,17,
sdgs financing gap,17,
sustainable development goal financing gap,17,
financing the sdgs,17,
financing the sustainable development goal,17,
sdg implementation,17,
sustainable development goal implementation,17,
2030 Agenda,17,
agenda 2030,17,
earth system,17,
system transformation,17,
sustainable world,17,
sustainable future,17,
global goals,17,
sdgs,17,
transinstitutional,17,
collaborative action,17,
